suite,task_id,task_name,episode_index,init_state_index,seed,success,steps,sum_reward,max_reward,terminated_before_limit,video
libero_spatial,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,0,1000,True,81,1.0,1.0,True,outputs/stage6_full_spatial_benchmark/videos/task_00/episode_00.mp4
libero_spatial,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,1,1,1001,True,79,1.0,1.0,True,outputs/stage6_full_spatial_benchmark/videos/task_00/episode_01.mp4
libero_spatial,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,2,2,1002,False,280,0.0,0.0,False,outputs/stage6_full_spatial_benchmark/videos/task_00/episode_02.mp4
libero_spatial,1,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,0,0,1000,True,107,1.0,1.0,True,outputs/stage6_full_spatial_benchmark/videos/task_01/episode_00.mp4
libero_spatial,1,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,1,1,1001,True,107,1.0,1.0,True,outputs/stage6_full_spatial_benchmark/videos/task_01/episode_01.mp4
libero_spatial,1,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,2,2,1002,True,109,1.0,1.0,True,outputs/stage6_full_spatial_benchmark/videos/task_01/episode_02.mp4
libero_spatial,2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,0,0,1000,True,100,1.0,1.0,True,outputs/stage6_full_spatial_benchmark/videos/task_02/episode_00.mp4
libero_spatial,2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,1,1,1001,True,119,1.0,1.0,True,outputs/stage6_full_spatial_benchmark/videos/task_02/episode_01.mp4
libero_spatial,2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,2,2,1002,True,99,1.0,1.0,True,outputs/stage6_full_spatial_benchmark/videos/task_02/episode_02.mp4
libero_spatial,3,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,0,0,1000,True,95,1.0,1.0,True,outputs/stage6_full_spatial_benchmark/videos/task_03/episode_00.mp4
libero_spatial,3,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,1,1,1001,True,82,1.0,1.0,True,outputs/stage6_full_spatial_benchmark/videos/task_03/episode_01.mp4
libero_spatial,3,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,2,2,1002,True,77,1.0,1.0,True,outputs/stage6_full_spatial_benchmark/videos/task_03/episode_02.mp4
libero_spatial,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,0,0,1000,True,130,1.0,1.0,True,outputs/stage6_full_spatial_benchmark/videos/task_04/episode_00.mp4
libero_spatial,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,1,1,1001,False,280,0.0,0.0,False,outputs/stage6_full_spatial_benchmark/videos/task_04/episode_01.mp4
libero_spatial,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,2,2,1002,False,280,0.0,0.0,False,outputs/stage6_full_spatial_benchmark/videos/task_04/episode_02.mp4
libero_spatial,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,0,0,1000,False,280,0.0,0.0,False,outputs/stage6_full_spatial_benchmark/videos/task_05/episode_00.mp4
libero_spatial,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,1,1,1001,False,280,0.0,0.0,False,outputs/stage6_full_spatial_benchmark/videos/task_05/episode_01.mp4
libero_spatial,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,2,2,1002,False,280,0.0,0.0,False,outputs/stage6_full_spatial_benchmark/videos/task_05/episode_02.mp4
libero_spatial,6,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,0,0,1000,False,280,0.0,0.0,False,outputs/stage6_full_spatial_benchmark/videos/task_06/episode_00.mp4
libero_spatial,6,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,1,1,1001,True,109,1.0,1.0,True,outputs/stage6_full_spatial_benchmark/videos/task_06/episode_01.mp4
libero_spatial,6,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,2,2,1002,True,110,1.0,1.0,True,outputs/stage6_full_spatial_benchmark/videos/task_06/episode_02.mp4
libero_spatial,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,0,0,1000,False,280,0.0,0.0,False,outputs/stage6_full_spatial_benchmark/videos/task_07/episode_00.mp4
libero_spatial,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,1,1,1001,False,280,0.0,0.0,False,outputs/stage6_full_spatial_benchmark/videos/task_07/episode_01.mp4
libero_spatial,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,2,2,1002,False,280,0.0,0.0,False,outputs/stage6_full_spatial_benchmark/videos/task_07/episode_02.mp4
libero_spatial,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,0,0,1000,True,95,1.0,1.0,True,outputs/stage6_full_spatial_benchmark/videos/task_08/episode_00.mp4
libero_spatial,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,1,1,1001,False,280,0.0,0.0,False,outputs/stage6_full_spatial_benchmark/videos/task_08/episode_01.mp4
libero_spatial,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,2,2,1002,False,280,0.0,0.0,False,outputs/stage6_full_spatial_benchmark/videos/task_08/episode_02.mp4
libero_spatial,9,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,0,0,1000,True,122,1.0,1.0,True,outputs/stage6_full_spatial_benchmark/videos/task_09/episode_00.mp4
libero_spatial,9,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,1,1,1001,True,120,1.0,1.0,True,outputs/stage6_full_spatial_benchmark/videos/task_09/episode_01.mp4
libero_spatial,9,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,2,2,1002,True,129,1.0,1.0,True,outputs/stage6_full_spatial_benchmark/videos/task_09/episode_02.mp4
